,word,transcript,neighbours
27,"['в', 'о', 'т']","['v', 'o', 't']","[['v', 'o', 'r'], ['p', 'o', 't'], ['v', 'o', 's'], ['o', 't'], ['k', 'o', 't'], ['v', 'o', 't'], ['s', 'o', 't'], ['v', 'o'], ['r', 'o', 't'], ['v', 'o', 'j'], ['t', 'o', 't'], ['v', 'o', 'n']]"
28,"['в', 'ы']","['v', 'y']","[['v', 'o'], ['b', 'y'], ['t', 'y'], ['m', 'y']]"
29,"['п', 'р', 'и']","['p', ""r'"", 'i']","[['p', 'r', 'o'], ['t', ""r'"", 'i'], ['p', ""r'"", 'i', 's']]"
30,"['в', 'о']","['v', 'o']","[['v', 'y'], ['v', 'o', 'r'], ['k', 'o'], ['v', 'o', 's'], ['o'], ['n', 'o'], ['t', 'o'], ['v', 'o', 't'], ['b', 'o'], ['v', 'o', 't'], ['d', 'o'], ['v', 'o', 'j'], ['p', 'o'], ['s', 'o'], ['v', 'o', 'n']]"
31,"['н', 'е', 'т']","[""n'"", 'e', 't']","[[""l'"", 'e', 't'], [""n'"", 'e', 'j'], [""n'"", 'e']]"
32,"['б', 'ы', 'т', 'ь']","['b', 'y', ""t'""]","[['m', 'y', ""t'""], [""b'"", 'i', ""t'""], ['b', 'y', 't']]"
33,"['т', 'о']","['t', 'o']","[['t', 'o', 'j'], ['s', 't', 'o'], ['t', 'u'], ['v', 'o'], ['d', 'o'], ['p', 'o'], ['ch', 't', 'o'], ['t', 'a'], ['n', 'o'], ['b', 'o'], ['k', 't', 'o'], ['t', 'y'], ['k', 'o'], ['sh', 't', 'o'], ['o'], ['t', 'o', 'k'], ['s', 'o'], [""t'"", 'e'], ['t', 'o', 'n'], ['t', 'o', 'm'], ['t', 'o', 't']]"
34,"['с', 'о']","['s', 'o']","[['k', 'o'], ['s', 't', 'o'], ['o'], ['n', 'o'], ['t', 'o'], ['s', 'o', 't'], ['b', 'o'], ['v', 'o'], [""s'"", 'e'], ['d', 'o'], ['p', 'o'], ['s', 'o', 'n'], ['s', 'o', 'k']]"
35,"['ч', 'т', 'о']","['sh', 't', 'o']","[['k', 't', 'o'], ['sh', 't', 'o'], ['s', 't', 'o'], ['t', 'o'], ['sh', 't', 'o', 'p']]"
36,"['л', 'и']","[""l'"", 'i']","[['sh', ""l'"", 'i'], [""l'"", 'i', 'c'], ['i'], [""n'"", 'i'], [""l'"", 'i', 'k'], ['l', 'zh', 'y'], ['l', 'a']]"
37,"['д', 'а']","['d', 'a']","[['d', 'a', 'n'], ['n', 'a'], ['b', 'a'], ['d', 'o'], ['d', 'a', 'm'], ['d', 'a', 'j'], ['d', 'n', 'a'], ['k', 'a'], ['d', 'a', 'f'], ['a'], ['t', 'a'], [""d'"", 'e'], ['h', 'a'], ['d', 'a', 'l'], ['l', 'a'], ['z', 'a'], ['d', 'a', 'k'], ['d', 'v', 'a'], ['d', 'a', 'r']]"
38,"['п', 'о', 'д']","['p', 'o', 't']","[['p', 'o', 't'], ['v', 'o', 't'], ['p', 'o', 'p'], ['h', 'o', 't'], ['p', 'l', 'o', 't'], ['p', 'o', 'r'], ['p', 'o'], ['r', 'o', 't'], ['p', 'o', 'l'], ['g', 'o', 't']]"
39,"['г', 'д', 'е']","['g', ""d'"", 'e']","[[""d'"", 'e']]"
40,"['е', 'с', 'т', 'ь']","['j', 'e', ""s'"", ""t'""]","[['ch', 'e', ""s'"", ""t'""], ['j', 'e', 's', 't'], [""s'"", 'e', ""s'"", ""t'""], [""v'"", 'e', ""s'"", ""t'""], ['sh', 'e', ""s'"", ""t'""], [""m'"", 'e', ""s'"", ""t'""]]"
41,"['и', 'х']","['i', 'h']","[['o', 'h'], ['i', 's'], ['e', 'h'], ['u', 'h'], [""n'"", 'i', 'h'], [""s'"", 'i', 'h'], ['i'], ['i', 'm'], ['a', 'h']]"
42,"['б', 'е', 'з']","[""b'"", 'e', 's']","[[""b'"", 'e', 't'], [""b'"", 'e', 'k'], [""b'"", 'e', 'j'], [""b'"", 'e', 's']]"
43,"['в', 'с', 'ё']","['f', ""s'"", 'o']","[['f', ""s'"", 'e'], ['f', ""s'"", 'u'], ['f', ""s'"", 'o', 'm'], ['f', ""s'"", 'a']]"
44,"['т', 'а', 'м']","['t', 'a', 'm']","[['s', 'a', 'm'], [""t'"", 'e', 'm'], ['t', 'a'], ['t', 'a', 'k'], ['d', 'a', 'm'], ['v', 'a', 'm'], [""t'"", 'i', 'm'], ['t', 'o', 'm'], ['n', 'a', 'm']]"
45,"['и', 'х']","['i', 'h']","[['o', 'h'], ['i', 's'], ['e', 'h'], ['u', 'h'], [""n'"", 'i', 'h'], [""s'"", 'i', 'h'], ['i'], ['i', 'm'], ['a', 'h']]"
46,"['н', 'и']","[""n'"", 'i']","[[""n'"", 'e'], ['n', 'a'], [""l'"", 'i'], ['n', 'o'], [""d'"", ""n'"", 'i'], ['n', 'u'], [""n'"", 'i', 'h'], [""n'"", 'i', 'm'], ['i']]"
47,"['т', 'о']","['t', 'o']","[['t', 'o', 'j'], ['s', 't', 'o'], ['t', 'u'], ['v', 'o'], ['d', 'o'], ['p', 'o'], ['ch', 't', 'o'], ['t', 'a'], ['n', 'o'], ['b', 'o'], ['k', 't', 'o'], ['t', 'y'], ['k', 'o'], ['sh', 't', 'o'], ['o'], ['t', 'o', 'k'], ['s', 'o'], [""t'"", 'e'], ['t', 'o', 'n'], ['t', 'o', 'm'], ['t', 'o', 't']]"
48,"['н', 'у']","['n', 'u']","[[""n'"", 'e'], ['d', 'n', 'u'], ['n', 'a'], ['n', 'o'], ['u'], ['t', 'u'], [""n'"", 'i'], ['f', 'u']]"
49,"['з', 'д', 'е', 'с', 'ь']","[""z'"", ""d'"", 'e', ""s'""]",[]
50,"['т', 'о']","['t', 'o']","[['t', 'o', 'j'], ['s', 't', 'o'], ['t', 'u'], ['v', 'o'], ['d', 'o'], ['p', 'o'], ['ch', 't', 'o'], ['t', 'a'], ['n', 'o'], ['b', 'o'], ['k', 't', 'o'], ['t', 'y'], ['k', 'o'], ['sh', 't', 'o'], ['o'], ['t', 'o', 'k'], ['s', 'o'], [""t'"", 'e'], ['t', 'o', 'n'], ['t', 'o', 'm'], ['t', 'o', 't']]"
51,"['т', 'у', 'т']","['t', 'u', 't']","[['sh', 'u', 't'], ['t', 'u', 'ch'], ['t', 'o', 't'], ['t', 'u']]"
52,"['к', 'т', 'о']","['k', 't', 'o']","[['k', 'o'], ['sh', 't', 'o'], ['s', 't', 'o'], ['t', 'o'], ['ch', 't', 'o']]"
53,"['в', 'с', 'е']","['f', ""s'"", 'e']","[['v', ""n'"", 'e'], ['f', ""s'"", 'u'], ['f', ""s'"", 'e', 'h'], ['f', ""s'"", 'e', 'm'], [""s'"", 'e'], ['f', ""s'"", 'e', 'j'], ['f', ""s'"", 'a'], ['f', ""s'"", 'o']]"
54,"['н', 'и']","[""n'"", 'i']","[[""n'"", 'e'], ['n', 'a'], [""l'"", 'i'], ['n', 'o'], [""d'"", ""n'"", 'i'], ['n', 'u'], [""n'"", 'i', 'h'], [""n'"", 'i', 'm'], ['i']]"
